Method name: INIMS_ExiCyToxAssay_RTG_Lars_Binkle_790_254_																																																	
Application: SparkControl				1.1																																													
Device: SPARK 10M				Serial number: 1511007580																																													
Firmware: 				LUM:V4.0.22|ABS:V4.2.9|ABS_MEX:V4.1.7|MTP:V9.0.18|FLUOR:V4.2.12|GCM:V3.0.2																																													
 																																																	
Date: 				2017-06-27																																													
Time: 				10:57																																													
System 				PC-2WPML82																																													
User 				NT-AUTORITÄT\NETZWERKDIENST																																													
Plate 				[GRE96fw_chimney] - Greiner 96 Flat White [GRE96fw_chimney]																																													
Lid lifter 				Removable lid 																																													
Humidity Cassette 				No humidity cassette 																																													
																																																	
List of actions in this measurement script:																																																	
Plate																																																	
	Temperature																																																
	Gas 																																																
	User intervention																																																
	Kinetic																																																
		Luminescence				RTG																																											
		Condition																																															
			User intervention																																														
																																																	
Plate layout																																																	
Name				GRE96fw_chimney																																													
																																																	
Temperature control				On																																													
Target temperature				37	°C																																												
Wait minimum				36,5	°C																																												
Wait maximum				37,5	°C																																												
																																																	
Gas control				CO2																																													
CO2 target value				5	%																																												
CO2 wait minimum				4,5	%																																												
CO2 wait maximum				5,5	%																																												
																																																	
User intervention text				Start assay																																													
																																																	
Mode	Kinetic																																																
Kinetic cycles				49																																													
Interval time				00:30:00																																													
																																																	
Mode	Luminescence																																																
Attenuation				None																																													
Settle time				0	ms																																												
Integration time				1000	ms																																												
Output				Counts / s																																													
Part of Plate				A2-A5;B2-G11																																													
																																																	
Mode	Condition																																																
Type				Start at cycle																																													
Executed once																																																	
Operation				at cycle 11																																													
																																																	
User intervention text				Add glutamate																																													
																																																	
Start Time				2017-06-26 10:55:52																																													
																																																	
RTG																																																	
Cycle Nr.	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
Time [s]	0	1799,171	3599,091	5398,993	7198,924	8998,834	10798,747	12598,669	14398,576	16198,506	17998,397	19798,756	21598,242	23398,153	25198,079	26997,979	28797,9	30597,816	32397,725	34197,64	35997,56	37797,467	39597,377	41397,283	43197,191	44997,118	46797,027	48596,943	50396,863	52196,767	53996,679	55796,599	57596,51	59396,423	61196,33	62996,254	64796,17	66596,078	68395,995	70195,903	71995,814	73795,734	75595,643	77395,558	79195,471	80995,381	82795,295	84595,199	86395,123
CO2 %	4,9	5	5	5	5	4,9	2,4	2,4	6,1	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
O2 %	19,6	19,6	19,6	19,6	19,6	19,6	20,7	20,7	19,4	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6	19,6
Temp. [°C]	37,1	37,06	37,09	37,05	36,93	37,07	37,05	37,04	37,11	37,11	37,07	37,02	37,09	37,11	37,19	37,05	37,16	37,06	37,15	37,08	37,14	36,93	37,06	36,97	37,06	37,01	37,02	37,16	37,07	37,16	36,99	37,09	36,92	36,91	36,98	37,02	36,93	36,94	36,94	36,95	37,05	37,09	36,96	37,03	37,08	37,04	37,08	37,03	36,89
